idx, token_name, token_address, aToken_name, aToken_address, dToken_Name, dToken_address, ltv, liquidationThreshold, usageAsCollateralEnabled, borrowingEnabled
0,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,amDAI,0x27F8D03b3a2196956ED754baDc28D73be8830A6e,variableDebtmDAI,0x75c4d1Fb84429023170086f06E682DcbBF537b7d,7500,8000,true,true
1,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,amUSDC,0x1a13F4Ca1d028320A707D99520AbFefca3998b7F,variableDebtmUSDC,0x248960A9d75EdFa3de94F7193eae3161Eb349a12,8000,8500,true,true
2,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,amUSDT,0x60D55F02A771d515e077c9C2403a1ef324885CeC,variableDebtmUSDT,0x8038857FD47108A07d1f6Bf652ef1cBeC279A2f3,0,0,false,true
3,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,amWBTC,0x5c2ed810328349100A66B82b78a1791B101C9D61,variableDebtmWBTC,0xF664F50631A6f0D72ecdaa0e49b0c019Fa72a8dC,7000,7500,true,true
4,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,amWETH,0x28424507fefb6f7f8E9D3860F56504E4e5f5f390,variableDebtmWETH,0xeDe17e9d79fc6f9fF9250D9EEfbdB88Cc18038b5,8000,8250,true,true
7,GHST,0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7,amGHST,0x080b5BF8f360F624628E0fb961F4e67c9e3c7CF1,variableDebtmGHST,0x36e988a38542C3482013Bb54ee46aC1fb1efedcd,2500,4500,true,true
8,BAL,0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,amBAL,0xc4195D4060DaEac44058Ed668AA5EfEc50D77ff6,variableDebtmBAL,0x773E0e32e7b6a00b7cA9daa85dfba9D61B7f2574,2000,4500,true,true
9,DPI,0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369,amDPI,0x81fB82aAcB4aBE262fc57F06fD4c1d2De347D7B1,variableDebtmDPI,0x43150AA0B7e19293D935A412C8607f9172d3d3f3,2000,4500,true,false
10,CRV,0x172370d5Cd63279eFa6d502DAB29171933a610AF,amCRV,0x3Df8f92b7E798820ddcCA2EBEA7BAbda2c90c4aD,variableDebtmCRV,0x780BbcBCda2cdb0d2c61fd9BC68c9046B18f3229,2000,4500,true,true
11,SUSHI,0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,amSUSHI,0x21eC9431B5B55c5339Eb1AE7582763087F98FAc2,variableDebtmSUSHI,0x9CB9fEaFA73bF392C905eEbf5669ad3d073c3DFC,2000,4500,true,false
12,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,amLINK,0x0Ca2e42e8c21954af73Bc9af1213E4e81D6a669A,variableDebtmLINK,0xCC71e4A38c974e19bdBC6C0C19b63b8520b1Bb09,5000,6500,true,true
