idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, weekRewardUsd, tvlUsd, apr, currentRewards, vault 
0,HERMES_IRIS,0xdaB35042e63E93Cc8556c9bAE482E5415B5Ac4B1,,IRIS,,,80,2020,78795,134,undefined,undefined
1,HERMES_WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,,WETH,,,30,758,103088,38,undefined,undefined
2,HERMES_WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,,WBTC,,,25,631,0,393704541394,undefined,undefined
3,HERMES_WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,,WMATIC,,,30,758,133809,30,undefined,undefined
4,HERMES_QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,,QUICK,,,6,152,15069,52,undefined,undefined
5,HERMES_USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,,USDC,,,12,303,0,36173280157476,undefined,undefined
6,HERMES_USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,,USDT,,,15,379,0,33268474587568,undefined,undefined
7,HERMES_DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,,DAI,,,8,202,31151,34,undefined,undefined
8,HERMES_WMATIC_IRIS,0x86ad6271809f350522085F95F5A67d46ff7ed3AB,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0xdaB35042e63E93Cc8556c9bAE482E5415B5Ac4B1,IRIS,160,4041,98416,214,undefined,undefined
9,HERMES_aestandard.finance,0x5aC3ceEe2C3E6790cADD6707Deb2E87EA83b0631,,aestandard.finance,,,1,25,0,167837719076,undefined,undefined
13,HERMES_SILVER,0xbc7cB585346f4F59d07121Bb9Ed7358076243539,,SILVER,,,1,25,154,854,undefined,undefined
14,HERMES_FISH,0x3a3Df212b7AA91Aa0402B9035b098891d276572B,,FISH,,,5,126,4691,140,undefined,undefined
15,HERMES_KAVIAN,0xC4Df0E37e4ad3e5C6D1dF12d3Ca7Feb9d2B67104,,KAVIAN,,,1,25,277,476,undefined,undefined
16,HERMES_KOGECOIN_IRIS,0x302f7E9bB5b5AC673Ac537F464a1B7A36bbbaBfA,0x13748d548D95D78a3c83fe3F32604B4796CFfa23,KOGECOIN,0xdaB35042e63E93Cc8556c9bAE482E5415B5Ac4B1,IRIS,60,1515,43997,180,undefined,undefined
17,HERMES_USDC_IRIS,0x277D9B07671eB9ac0d5D63E15BeEdc0aDBE3e9Fd,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xdaB35042e63E93Cc8556c9bAE482E5415B5Ac4B1,IRIS,160,4041,58160,362,undefined,undefined
18,HERMES_ROUTE (PoS)_DFYN,0xB0dc320ea9eea823a150763AbB4A7bA8286Cd08B,0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,ROUTE (PoS),0xC168E40227E4ebD8C1caE80F7a55a4F0e6D66C97,DFYN,45,1136,39073,152,undefined,undefined
