idx, lp_name, lp_address, token0, token0_name, token1, token1_name, pool, rewardAmount, vault, weekRewardUsd, tvlUsd, apr, currentRewards
0,QUICK_USDC_WETH,0x853Ee4b2A13f8a742d64C8F088bE7bA2131f670d,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xbB703E95348424FF9e94fbE4FB524f6d280331B8,113468.97,0x572749cd713cbfeaccf06f0c83b68e8c1c10a248,113468.97,53070507.05,11.15,141059.59361077845
1,QUICK_WMATIC_WETH,0xadbF1854e5883eB8aa7BAf50705338739e558E5b,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x4b678cA360c5f53a2B0590e53079140F302A9DcD,0.00,0xf5c32b020c334f523beaec5caf9421b8bde8227e,0.00,339634.98,NaN,65274.77635597208
2,QUICK_WMATIC_QUICK,0x019ba0325f1988213D448b3472fA1cf8D07618d7,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0xdD8758eBB792C9aed3517e9E28ce03C090564DA0,0.00,0x02b7a35c72b150c3d9175f0c6b0e9e49f0b5988a,0.00,31749.67,NaN,38980.75294094383
3,QUICK_WETH_USDT,0xF6422B997c7F54D1c6a6e103bcb1499EeA0a7046,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,0x45a5CB25F3E3bFEe615F6da0731740093F59b768,37854.14,0xc32dc21829334ef901bea850357f2ab04ba36bd2,37854.14,23930071.39,8.25,61930.40667242736
4,QUICK_WBTC_WETH,0xdC9232E2Df177d7a12FdFf6EcBAb114E2231198D,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x2972175e1a35C403B5596354D6459C34Ae6A1070,45927.92,0xf82671f67dce6b646f8a9a1db7832b13f006823c,45927.92,40859251.95,5.86,42064.59469517755
5,QUICK_WETH_AAVE,0x90bc3E68Ba8393a3Bf2D79309365089975341a43,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,0x9891548FB271C2350bd0FA25eb56A3b558cD4A64,27037.19,0x9e4358fca9739893fcc7d79b9d40e370ba8a8bd9,27037.19,11156695.26,12.64,50512.88389582557
6,QUICK_WETH_DAI,0x4A35582a710E1F4b2030A3F826DA20BfB6703C09,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,0x8d6b2dBa9e85b897Dc97eD262C1aa3e4D76477dF,27037.19,0x4aca3228c815ba6e3e2bbf9241ed2c5ab677e40a,27037.19,13791366.06,10.22,45923.368443467676
7,QUICK_WETH_QUICK,0x1Bd06B96dd42AdA85fDd0795f3B4A79DB914ADD5,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x5BcFcc24Db0A16b1C01BAC1342662eBd104e816c,29718.06,0xcb1c301c1966f4d26ffef78edd4de850392a40b1,29718.06,7725637.79,20.06,25678.648768165353
8,QUICK_miMATIC_USDT,0xE89faE1B4AdA2c869f05a0C96C87022DaDC7709a,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,miMATIC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,0x06e49078b1900A8489462Cd2355ED8c09f507499,21633.91,undefined,21633.91,7672743.39,14.70,undefined
9,QUICK_QI_WETH,0x8C1b40Ea78081B70F661C3286c74E71b4602C9C0,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,QI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x17fE4630A855FF6e546C19c315BE7f3ED01f38Ff,16230.62,undefined,16230.62,1084478.38,78.04,undefined
10,QUICK_DAI_miMATIC,0x74214F5d8AA71b8dc921D8A963a1Ba3605050781,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,miMATIC,0xb827B23e2276ceB912CB42088ab064800447c158,21633.91,undefined,21633.91,8082335.33,13.96,undefined
11,QUICK_XCASH_QUICK,0x30167FEA9499C11795bfd104667240BDAc939d3a,0x03678f2c2c762DC63c2Bb738c3a837D366eDa560,XCASH,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,QUICK,0x7E9E46BBAa92a2d18c17B8e8c537Cc488f0f1559,13528.98,undefined,13528.98,479879.44,147.00,undefined
