idx, csToken_name, csToken_address, token, tokenName, collateralFactor, borrowTarget, tvl, supplyCap, vault, cur rewards
0,scUSDC,0xE45Ac34E528907d0A0239ab5Db507688070B20bf,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,USDC,7499,7425,57284544511161991168.00,0,undefined,undefined
1,scDAI,0x8D9AED9882b4953a0c9fa920168fa1FDfA0eBE75,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,DAI,7499,7425,42352701.26,0,undefined,undefined
3,scWFTM,0x5AA53f03197E08C4851CAD8C92c7922DA5857E5d,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,7499,7425,344728665.73,0,undefined,undefined
7,scWBTC,0x4565DC3Ef685E4775cdF920129111DdF43B9d882,0x321162Cd933E2Be498Cd2267a90534A804051b11,BTC,7499,7425,675402354354651520.00,0,undefined,undefined
8,scWETH,0xC772BA6C2c28859B7a0542FAa162a56115dDCE25,0x74b23882a30290451A17c44f4F05243b6b58C76d,ETH,7499,7425,94470869.34,0,undefined,undefined
10,scFUSDT,0x02224765BC8D54C21BB51b0951c80315E1c263F9,0x049d68029688eAbF473097a2fC38ef61633A3C7A,fUSDT,7499,7425,45965525515552374784.00,0,undefined,undefined
14,scCRV,0x820BdA1786AFA19DA6B92d6AC603574962337326,0x1E4F97b9f9F913c46F1632781732927B9019C68b,CRV,6499,6435,5753217.95,0,undefined,undefined
17,scFUSD,0x83fad9Bce24B605Fe149b433D62C8011070239B8,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,FUSD,8499,8415,9445698.95,1000000000000000000,0x572749cd713cbfeaccf06f0c83b68e8c1c10a248,undefined
18,scLINK,0x2359012ebE36cCa231203D78b914284947B58aa3,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,LINK,6499,6435,21087084.93,0,0x2c843e75baf9afd52cf5e0f9cb547aa85a131b34,0.0031545052051968002
19,scFRAX,0x4E6854EA84884330207fB557D1555961D85Fc17E,0xdc301622e621166BD8E82f2cA0A26c13Ad0BE355,FRAX,7499,7425,14112784.80,0,0xe2d0e06a612ce44189ebced4af112e19feb0ce71,0
20,scDOLA,0x5A3B9Dcdd462f264eC1bD56D618BF4552C2EaF8A,0x3129662808bEC728a27Ab6a6b9AFd3cBacA8A43c,DOLA,7499,7425,10997676.14,0,0xcb1c301c1966f4d26ffef78edd4de850392a40b1,0.0045806149420416
21,scMIM,0x90B7C21Be43855aFD2515675fc307c084427404f,0x82f0B8B456c1A451378467398982d4834b6829c1,MIM,7499,7425,21552135.40,0,undefined,undefined
23,scTUSD,0x789B5DBd47d7Ca3799f8E9FdcE01bC5E356fcDF1,0x9879aBDea01a879644185341F7aF7d8343556B7a,TUSD,7499,7425,37582821.12,0,0x954dda1f3ff127f01fe333418835e77422a67bcb,0.0040714058198016
24,scSPELL,0xB19b33fFf3A9B21F120B6aC585b8ce21635BEb96,0x468003B688943977e6130F4F68F23aad939a1040,SPELL,4499,4455,4741707.11,0,undefined,undefined
