idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, weekRewardUsd, tvlUsd, apr, currentRewards, vault 
0,SPOOKY_WFTM_BOO,0xEc7178F4C41f346b2721907F5cF7628E388A7a58,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,BOO,3000,459664,100231442,24,undefined,undefined
1,SPOOKY_fUSDT_WFTM,0x5965E53aa80a0bcF1CD6dbDd72e6A9b2AA047410,0x049d68029688eAbF473097a2fC38ef61633A3C7A,fUSDT,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,420,64353,28185882,12,undefined,undefined
2,SPOOKY_USDC_WFTM,0x2b4C76d0dc16BE1C31D4C1DC53bF9B45987Fc75c,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,USDC,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,900,137899,68210355,11,undefined,undefined
3,SPOOKY_WFTM_DAI,0xe120ffBDA0d14f3Bb6d6053E90E63c572A66a428,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,DAI,300,45966,26948881,9,undefined,undefined
4,SPOOKY_WFTM_BTC,0xFdb9Ab8B9513Ad9E419Cf19530feE49d412C3Ee3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x321162Cd933E2Be498Cd2267a90534A804051b11,BTC,350,53627,26871765,10,undefined,undefined
5,SPOOKY_WFTM_ETH,0xf0702249F4D3A25cD3DED7859a165693685Ab577,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x74b23882a30290451A17c44f4F05243b6b58C76d,ETH,440,67417,47772895,7,undefined,undefined
6,SPOOKY_WFTM_LINK,0x89d9bC2F2d091CfBFc31e333D6Dc555dDBc2fd29,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,LINK,200,30644,11039643,14,undefined,undefined
7,SPOOKY_WFTM_AAVE,0xeBF374bB21D83Cf010cC7363918776aDF6FF2BF6,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x6a07A792ab2965C72a5B8088d3a069A7aC3a993B,AAVE,70,10725,5087293,11,undefined,undefined
8,SPOOKY_WFTM_SNX,0x06d173628bE105fE81F1C82c9979bA79eBCAfCB7,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,SNX,30,4597,2527620,9,undefined,undefined
9,SPOOKY_WFTM_YFI,0xBf4d61d4cec3a9DFf7452D8987E1Cc2943e2EB4C,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,YFI,0,0,6751,0,undefined,undefined
10,SPOOKY_WFTM_SUSHI,0xf84E313B36E86315af7a06ff26C8b20e9EB443C3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xae75A438b2E0cB8Bb01Ec1E1e376De11D44477CC,SUSHI,100,15322,6748313,12,undefined,undefined
11,SPOOKY_WFTM_SFI,0x01424C64c4744769299019bE64F3d82898fF28f3,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x924828a9Fb17d47D0eb64b57271D10706699Ff11,SFI,0,0,0,0,undefined,undefined
12,SPOOKY_WFTM_BAND,0x91b39D5584e2A7DC829f696235742cc293F2e8cf,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x46E7628E8b4350b2716ab470eE0bA1fa9e76c6C5,BAND,0,0,69192,0,undefined,undefined
13,SPOOKY_WFTM_CREAM,0xb77b223490e1f5951ec79A8d09Db9Eab2ADCB934,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,CREAM,0,0,73332,0,undefined,undefined
14,SPOOKY_CRV_WFTM,0xB471Ac6eF617e952b84C6a9fF5de65A9da96C93B,0x1E4F97b9f9F913c46F1632781732927B9019C68b,CRV,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,170,26048,7537218,18,undefined,undefined
15,SPOOKY_WFTM_COVER,0x5DC7848bF215F1D99F2AF3d2Bf78fcdf238EE34b,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xB01E8419d842beebf1b70A7b5f7142abbaf7159D,COVER,0,0,35337,0,undefined,undefined
16,SPOOKY_WFTM_BADGER,0x1c94665FD3ecFa969Feda7Ed01e35522e6982022,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0x753fbc5800a8C8e3Fb6DC6415810d627A387Dfc9,BADGER,0,0,17034,0,undefined,undefined
17,SPOOKY_WFTM_ICE,0x623EE4a7F290d11C11315994dB70FB148b13021d,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xf16e81dce15B08F326220742020379B855B87DF9,ICE,100,15322,6189984,13,undefined,undefined
18,SPOOKY_ZOO_WFTM,0x3Cceb477Fcb6cDE90180983642486E68148D7b27,0x09e145A1D53c0045F41aEEf25D8ff982ae74dD56,ZOO,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,20,3064,1283232,12,undefined,undefined
19,SPOOKY_WFTM_BNB,0x956DE13EA0FA5b577E4097Be837BF4aC80005820,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,WFTM,0xD67de0e0a0Fd7b15dC8348Bb9BE742F3c5850454,BNB,300,45966,19181449,12,undefined,undefined
