idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc, sushiWeekRewardUsd, maticWeekRewardUsd, weekRewardUsd, tvlUsd, apr, currentRewards, vault
0,SUSHI_WMATIC_WETH,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,200,148173,17776,165949,33644261,26,1634611.7709070581,0x0ed08c9a2efa93c4bf3c8878e61d2b6ced89e9d7
1,SUSHI_USDC_WETH,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,160,118538,14221,132759,41855553,17,1460742.7665562541,0x9cc56fa7734da21ac88f6a816af10c5b898596ce
2,SUSHI_WETH_USDT,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,140,103721,12443,116164,28001340,22,1011261.4710289909,0x6f2fb669b52e4ed21a019e9db197f27f4b88ebf9
3,SUSHI_WBTC_WETH,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,105,77791,9332,87123,61363212,7,987983.7943038929,0x57205cc741f8787a5195b2126607ac505e11b650
5,SUSHI_WETH_DAI,0x6FF62bfb8c12109E8000935A6De54daD83a4f39f,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,100,74086,8888,82974,18964507,23,1241530.6756863878,0xbaf98420867d31fdbf3c4c384b9dd857ccb7993b
6,SUSHI_WETH_AAVE,0x2813D43463C374a680f235c428FB1D7f08dE0B69,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,70,51860,6222,58082,17266607,18,903130.3850369059,0x143fa62000f135e7941a9e8e26cac50419454045
7,SUSHI_LINK_WETH,0x74D23F21F780CA26B47Db16B0504F2e3832b9321,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,LINK,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,50,37043,4444,41487,13823486,16,383414.99401254545,0xd98320bb02f29d4f714c5f1741a42680dd19461d
8,SUSHI_USDC_USDT,0x4B1F1e2435A9C96f7330FAea190Ef6A7C8D70001,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,28,20744,2489,23233,17051913,7,282761.1701236978,0x5de724ed41317fd0212133ef4a1530005bb5837f
11,SUSHI_USDC_DAI,0xCD578F016888B57F1b1e3f887f392F0159E26747,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,15,11113,1333,12446,11050528,6,138443.36986846232,0x566f51b19651b5eecf1d60ad8f08c936015c0dc1
14,SUSHI_FRAX_USDC,0x9e20a8d3501BF96EDA8e69b96DD84840058a1cB0,0x104592a158490a9228070E0A8e5343B499e125D0,FRAX,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,15,11113,1333,12446,3576470,18,112179.87456865633,0x657ae82292ae96ae36f3c155c3657db991f33167
24,SUSHI_WBTC_ibBTC,0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x4EaC4c4e9050464067D673102F8E24b2FccEB350,ibBTC,5,3704,444,4149,3506924,6,32576.696443168003,0x269a36957bc7addee51c24aac6f07c40ddfacbc3
