idx, lp_name, lp_address, token0, token0_name, token1, token1_name, alloc 
0,SUSHI_WMATIC_WETH,0xc4e595acDD7d12feC385E5dA5D43160e8A0bAC0E,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,WMATIC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,190
1,SUSHI_USDC_WETH,0x34965ba0ac2451A34a0471F04CCa3F990b8dea27,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,152
2,SUSHI_WETH_USDT,0xc2755915a85C6f6c1C0F3a86ac8C058F11Caa9C9,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,135
3,SUSHI_WBTC_WETH,0xE62Ec2e799305E0D367b0Cc3ee2CdA135bF89816,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,WBTC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,135
4,SUSHI_Krill_USDC,0x497C2cbAd454952B20Ab66A1A17daC0999BA228E,0x05089C9EBFFa4F0AcA269e32056b1b36B37ED71b,Krill,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0
5,SUSHI_WETH_DAI,0x6FF62bfb8c12109E8000935A6De54daD83a4f39f,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,DAI,90
6,SUSHI_WETH_AAVE,0x2813D43463C374a680f235c428FB1D7f08dE0B69,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,AAVE,80
7,SUSHI_LINK_WETH,0x74D23F21F780CA26B47Db16B0504F2e3832b9321,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,LINK,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,50
8,SUSHI_USDC_USDT,0x4B1F1e2435A9C96f7330FAea190Ef6A7C8D70001,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,USDC,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,USDT,45
9,SUSHI_CRV_WETH,0x396E655C309676cAF0acf4607a868e0CDed876dB,0x172370d5Cd63279eFa6d502DAB29171933a610AF,CRV,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,WETH,10
